"headline","date"
"OBITUARY: FORMER DEL. THOMAS BAKER, CREDITED AS ARCHITECT OF NEW RIVER VALLEY EFFORTS","2016-04-20"
"CONGRESSIONAL HOPEFULS REPORT ON WAR CHESTS","2016-04-20"
"STATE LAWMAKERS BEGIN EXAMINATION OF JAMYCHEAL MITCHELL'S DEATH IN JAIL","2016-04-20"
"LAWMAKERS QUESTION INSPECTOR GENERAL ON MENTALLY ILL INMATE'S DEATH","2016-04-20"
"TRANSPORTATION BOARD TO RECOMMEND $1.68 BILLION IN TRANSPORTATION SPENDING","2016-04-20"
"BUILDING AIRCRAFT CARRIERS FASTER ONE FOCUS OF BILL","2016-04-20"
"FORBES PROPOSES LARGER SHIPBUILDNG BUDGET AND SPEEDING UP AIRCRAFT CARRIER CONSTRUCTION","2016-04-20"
"CRYSTAL CITY, ONCE CAST OFF BY WASHINGTON, REBOOTS ITSELF","2016-04-20"
"RURAL DISTRICT RESPONDS EXCITEDLY TO PROSPECT OF BROADBAND SERVICES","2016-04-20"
"DANVILLE REACHES COAL ASH SETTLEMENT WITH DUKE ENERGY","2016-04-20"
"FEDERAL APPEALS COURT SIDES WITH TRANSGENDER TEEN, SAYS BATHROOM CASE CAN GO FORWARD","2016-04-20"
"APPEALS COURT FAVORS TRANSGENDER STUDENT IN VIRGINIA RESTROOM CASE","2016-04-20"
"COURT OVERTURNS VIRGINIA SCHOOL'S TRANSGENDER BATHROOM RULE","2016-04-20"
"APPEALS RULING THREATENS KEY PROVISION OF NORTH CAROLINA LAW","2016-04-20"
"TRANSGENDER STUDENT PREVAILS IN U.S. COURT","2016-04-20"
"APPEALS COURT BACKING OF VA. TRANSGENDER TEEN COULD RESONATE NATIONALLY","2016-04-20"
"APPEALS COURT RULES IN FAVOR OF GLOUCESTER TEENAGER IN BATHROOM DISPUTE","2016-04-20"
"NEW DATA SHOW CHESAPEAKE BAY POLLUTANTS DROPPING","2016-04-20"
"PORTSMOUTH RACE RELATIONS PANEL, OFFICIALS DISCUSS WHITE PRIVILEGE","2016-04-20"
"VIRGINIA FLAGGERS RALLY TO KEEP THE LEE STATUE STANDING","2016-04-20"
"MAYOR CONCERNED ABOUT CABELA'S-BASS PRO REPORTS","2016-04-20"
"CUTTING OPIOID FLOW FROM ERS A GOOD STEP","2016-04-20"
"STOP PLAYING POLITICS OVER EXECUTIONS","2016-04-20"
"DO STATE BOYCOTTS WORK?","2016-04-20"
"TAKE ACTION AGAINST BULLYING BEFORE IT'S TOO LATE","2016-04-20"
"WHERE IS RICHMOND'S MONEY GOING?","2016-04-20"
"SCHAPIRO: GOVERNOR, LEGISLATURE - A CLASH OF CONSTITUTIONAL PREROGATIVES","2016-04-20"
"WALSH: MCAULIFFE'S CLEVER EXECUTION PLOY WOULD CREATE BAD LAW","2016-04-20"
"FORBES: WISER FUNDING FOR SUBMARINES","2016-04-20"
"JOHNSON: THE PROBLEMS ON PETERS MOUNTAIN","2016-04-20"
"LAROCK TAKING STATE ATTORNEY GENERAL TO COURT","2016-04-21"
"LAWMAKER FILES SUIT AGAINST HERRING TO COMPEL OPINION ON TRANSGENDER DISCRIMINATION","2016-04-21"
"VA. REPUBLICAN DEMANDS OPINION ON TRANSGENDER ISSUES FROM ATTORNEY GENERAL","2016-04-21"
"‘WE’RE HUMAN BEINGS.’ TRANSGENDER TEEN GRATIFIED AFTER COURT’S RULING IN BATHROOM CASE","2016-04-21"
"LAWMAKERS SUSTAIN MCAULIFFE VETOES ON HOT-BUTTON ISSUES","2016-04-21"
"MCAULIFFE’S VETOES OF PARTISAN FLASH POINTS SURVIVE GOP ATTEMPTS TO OVERRIDE THEM","2016-04-21"
"VIRGINIA LAWMAKERS FAIL TO OVERRIDE KEY VETOES","2016-04-21"
"EFFORT TO OVERRIDE VETO OF COAL MINE TAX CREDIT FAILS IN GENERAL ASSEMBLY","2016-04-21"
"VIRGINIA TO SHIELD IDENTITIES OF EXECUTION DRUG SUPPLIER","2016-04-21"
"GENERAL ASSEMBLY BACKS SECRECY PROVISION FOR DEATH PENALTY","2016-04-21"
"GENERAL ASSEMBLY VOTES TO SHIELD IDENTITIES OF COMPANIES SUPPLYING LETHAL INJECTION DRUGS","2016-04-21"
"VIRGINIA LEGISLATURE APPROVES PLAN TO BUY EXECUTION DRUGS FROM SECRET PHARMACIES","2016-04-21"
"GENERAL ASSEMBLY PASSES MCAULIFFE DEATH PENALTY SECRECY PLAN","2016-04-21"
"VA. NOMINEE LAW UPHELD","2016-04-21"
"5TH DISTRICT GOP HOPEFULS SQUARE OFF AT DEBATE","2016-04-21"
"FOUR CANDIDATES TO RUN IN PRIMARIES FOR 4TH DISTRICT CONGRESSIONAL SEAT","2016-04-21"
"EASTERN STATE HOSPITAL LOSES MEDICARE FUNDING","2016-04-21"
"WIND FARM PROPOSAL IN BOTETOURT COUNTY BEGINS STATE APPROVAL PROCESS","2016-04-21"
"AIRBUS AMERICAS PLANS TO EXPAND ITS LOUDOUN COUNTY FOOTPRINT","2016-04-21"
"STATE BOARD ENDORSES CONTRACT AWARD FOR RICHMOND'S BUS RAPID TRANSIT","2016-04-21"
"REPORT: ROANOKE VA OFFICE FAVORED NEW APPEALS OVER OLDER, COMPLICATED CASES","2016-04-21"
"RICHMOND COMMUNITY POLICING FORUM EXPLORES 'RESTORATIVE JUSTICE'","2016-04-21"
"ENVIRONMENTAL ASSESSMENT FOR POTENTIAL NAVY DRONE BASE ON EASTERN SHORE MAY BE FINISHED THIS SUMMER","2016-04-21"
"DOMINION PUSHES BACK PIPELINE PLAN","2016-04-21"
"ARLINGTON PASSES $1.2 BILLION BUDGET WITH SMALL TAX RATE CUT","2016-04-21"
"ARLINGTON BOARD CHAIR, CHALLENGER MIX IT UP IN THEIR FIRST CAMPAIGN FORUM","2016-04-21"
"PETERSBURG LOOKS FOR NEW FINANCE DIRECTOR","2016-04-21"
"PETERSBURG PARTS WITH FINANCE DIRECTOR","2016-04-21"
"NORFOLK SCHOOL BOARD DELAYS VOTE ON PUBLIC COMMENT POLICY","2016-04-21"
"KENNY ALEXANDER WANTS TO BE NORFOLK’S CONDUCTOR","2016-04-21"
"ATTORNEY GENERAL’S OPINION CONTRADICTS SCHOOL BOARD POLICY","2016-04-21"
"BERRYVILLE MAN WINS IN FOIA REQUEST LAWSUIT","2016-04-21"
"TRANSGENDER STUDENTS DESERVE JUSTICE, TOO","2016-04-21"
"CALCULATING COSTS OF A 100-YEAR FLOOD","2016-04-21"
"CSX PLEDGES A BUFFER FOR TOXIC THREAT IN FREDERICKSBURG","2016-04-21"
"LONG: INCENTIVE FUNDS SHOULD BE MORE TRANSPARENT","2016-04-21"
"ARCHER: WE NEED MORE NATURAL GAS","2016-04-21"
"ACCIDENTAL SENATE VOTES ALMOST EXTEND COAL TAX CREDIT","2016-04-22"
"NEW PAC RAISING MONEY FOR WITTMAN'S GUBERNATORIAL RUN","2016-04-22"
"WITTMAN CREATES PAC TO RUN FOR GOVERNOR","2016-04-22"
"MASON, SIMONDS PUT IN FOR MILLER'S SENATE SEAT","2016-04-22"
"TWO DEMOCRATS WILL COMPETE IN PRIMARY FOR LATE JOHN MILLER'S STATE SENATE SEAT","2016-04-22"
"VIRGINIA POLITICS: BOWLING GREEN COUNCILMAN ROWE SEEKS 1ST CONGRESSIONAL DISTRICT NOD","2016-04-22"
"LAWSUIT SAYS VIRGINIA JAILERS ABUSED AUTISTIC INMATE","2016-04-22"
"PUBLIC EXPRESSES CONCERNS AT DEQ MEETING ON COAL ASH WATER REMOVAL INTO CLINCH RIVER","2016-04-22"
"BEYER REPORTS HIGHS, LOWS OF CUBA JOURNEY","2016-04-22"
"ODU REJECTS UNSOLICITED PROPOSAL TO BUILD A 25,000-SEAT FOOTBALL STADIUM","2016-04-22"
"ODU WILL RAISE TUITION AND FEES BY MODEST 2.5 PERCENT","2016-04-22"
"NCI TO SEEK MORE BUSINESS LEADERS FOR BOARD","2016-04-22"
"GLOUCESTER WILL ASK APPEALS COURT TO REVIEW GRIMM RULING","2016-04-22"
"SUPPORTERS CALL FOR NAME CHANGE OF RAWLS BYRD ELEMENTARY","2016-04-22"
"RICHMOND OPPOSES PLAN FOR HYDROELECTRIC PROJECT","2016-04-22"
"SUPERVISORS PROPOSE SCHOOL FUNDING CUTS TO BOOST PAY FOR FIREFIGHTERS, POLICE","2016-04-22"
"STONEY LAUNCHES MAYORAL BID, PROMISING 'NEW ENERGY' AT CITY HALL","2016-04-22"
"BOB MCCABE SAYS HE’S CHALLENGING NORFOLK’S STATUS QUO","2016-04-22"
"NORFOLK SCHOOLS’ FINANCIAL CHIEF LEAVING TO BECOME SUPERINTENDENT IN SURRY","2016-04-22"
"PORTSMOUTH COUNCILMAN BILL MOODY SUES CITY OVER $1,500 FINE","2016-04-22"
"ROANOKE SUPERVISOR SAYS BROADBAND PLAN IS GOVERNMENT PLOT","2016-04-22"
"SCHOOL BOARD PRESSURES CARTER ON BUS VIDEOTAPE","2016-04-22"
"BE GRATEFUL FOR THAT VETO PEN","2016-04-22"
"SECRECY ON LETHAL DRUGS IS PERILOUS","2016-04-22"
"CUCCINELLI-MCAULIFFE ALL OVER AGAIN","2016-04-22"
"SISTER CITIES BRING JUNKETS AND JOKES, NOT ECONOMIC DEVELOPMENT","2016-04-22"
"WILLIAMS: WILL MAYOR'S RACE BE ONE FOR THE AGES?","2016-04-22"
"RESS: STONEY DECLARES FOR RICHMOND MAYORAL RACE","2016-04-22"
"TREACY AND ROVNER: THE COMMONWEALTH CONTRIBUTES MUCH TO PROTECTING THE ENVIRONMENT","2016-04-22"
"FOUR YEARS AGO TODAY, THE GOOD FRIDAY MIRACLE IN VIRGINIA BEACH","2016-04-22"
"BIG BUCKS BEHIND VIRGINIA GOVERNORS' JOBS ANNOUNCEMENTS","2016-04-25"
"VIRGINIA GOV. TERRY MCAULIFFE RESTORES VOTING RIGHTS FOR 200,000 CONVICTED FELONS","2016-04-25"
"MCAULIFFE RESTORES VOTING RIGHTS FOR 206K EX-FELONS; GOP CALLS IT MOVE TO BOOST CLINTON","2016-04-25"
"VIRGINIA GOVERNOR RESTORES VOTING RIGHTS TO FELON","2016-04-25"
"MCAULIFFE RESTORING VOTING RIGHTS TO 200,000 CONVICTED FELONS","2016-04-25"
"MCAULIFFE: GOP SHOULD TRY TO EARN EX-FELONS' VOTES","2016-04-25"
"A LOCAL PERSPECTIVE OF GOV. MCAULIFFE'S PLAN TO RESTORE VOTING RIGHTS TO 200,000-PLUS FELONS","2016-04-25"
"ATTORNEY GENERAL MARK HERRING: FRANKLIN SCHOOLS' PUBLIC-COMMENT RULES ARE UNCONSTITUTIONAL","2016-04-25"
"ATTORNEY GENERAL'S OFFICE INTERVENED IN INVESTIGATION INTO JAMYCHEAL MITCHELL'S DEATH","2016-04-25"
"VIRGINIA SETS UP FUND (WITHOUT FUNDING) TO HELP PROPERTY OWNERS PREPARE FOR SEA-LEVEL RISE","2016-04-25"
"OBITUARY: WARREN E. BARRY, MAVERICK VIRGINIA LEGISLATOR, DIES AT 82","2016-04-25"
"JURORS UNMOVED BY FORMER VA. GOVERNOR'S APPEAL ARGUMENTS","2016-04-25"
"FORMER GOV. BOB MCDONNELL'S CASE APPEARS BEFORE SUPREME COURT WEDNESDAY","2016-04-25"
"ASSISTANT MEDICAL EXAMINER IN RICHMOND ALLEGES WRONGDOING IN VIDEO","2016-04-25"
"STATE ISSUES TEMPORARY AUTHORIZATION FOR APP-BASED DELIVERY SERVICE","2016-04-25"
"Q&A: LAURIE FORLANO, EPIDEMIOLOGIST WITH VA.'S HEALTH DEPARTMENT","2016-04-25"
"AS MOSQUITO SEASON NEARS, ENVIRONMENTAL HEALTH WORKERS PREPARE TO BATTLE ZIKA VIRUS","2016-04-25"
"US SENATE BILL WOULD AID AUGUSTA HEALTH REIMBURSEMENTS","2016-04-25"
"METRO SANK INTO CRISIS DESPITE DECADES OF WARNINGS","2016-04-25"
"VDOT: 2016 PAVING PLAN FOR RICHMOND AREA IS LARGEST, MOST COSTLY EVER","2016-04-25"
"VCCS AT 50: 'WE REALLY ARE DEMOCRACY'S COLLEGE'","2016-04-25"
"SWEET BRIAR PRESIDENT ANNOUNCES TIMETABLE FOR RETIREMENT","2016-04-25"
"VHSL PROPOSES MOVING STATE TITLE GAMES AWAY FROM LIBERTY UNIVERSITY","2016-04-25"
"OPIATE DEATHS IN VA. KEPT INCREASING IN 2015","2016-04-25"
"GLOUCESTER COUNTY SCHOOL BOARD REQUESTS FULL APPEALS COURT REVIEW OF TRANSGENDER RULING","2016-04-25"
"COURT RULING ON TRANSGENDER GLOUCESTER STUDENT STILL LEAVES QUESTIONS FOR SCHOOLS","2016-04-25"
"'KEYSTONE KILLER' RALLIES OPPONENTS TO MOUNTAIN VALLEY PIPELINE","2016-04-25"
"PIPELINE OPPONENTS OUTLINE ISSUES IN AUGUSTA SUMMIT","2016-04-25"
"ATLANTIC COAST PIPELINE OPPONENTS QUESTION NEED FOR PROJECT","2016-04-25"
"AT SHAD PLANKING, RAIN AND AN UNCLEAR FORECAST","2016-04-25"
"WAKEFIELD RURITAN CLUB AIMS TO MAKE SHAD PLANKING GREAT AGAIN","2016-04-25"
"SHAD PLANKING, A VENERABLE VA. POLITICAL CONFAB, TRIES TO REEL IN A NEW CROWD","2016-04-25"
"SHAD PLANKING CROWD PERSEVERES DESPITE DOWNPOUR, MAIN COURSE","2016-04-25"
"ANOTHER LARGE SOLAR PROJECT PROPOSED IN ACCOMACK COUNTY","2016-04-25"
"ANTI-ABORTION PROTEST DRAWS DOZENS IN RICHMOND","2016-04-25"
"RAISING MONEY FOR CIVIC PROJECTS RAISES QUESTIONS ABOUT DEMOCRACY","2016-04-25"
"LOUDOUN CHAIRWOMAN CLARIFIES “SISTER CITY” COMMENTS; SAYS SHE WON’T USE TAXPAYER FUNDS","2016-04-25"
"ON STONEY'S CAMPAIGN, GOVERNOR SAYS HE'LL 'DO WHATEVER HE WANTS ME TO'","2016-04-25"
"IN CHESAPEAKE, VOICES DIFFER ON THE MEANING OF ""SMART GROWTH""","2016-04-25"
"SUFFOLK CITY COUNCIL VOTES UNANIMOUSLY TO APPROVE VACANT-LOT GARDENING","2016-04-25"
"EX-SHERIFF’S INVESTIGATOR GUILTY OF ELECTION FRAUD","2016-04-25"
"MR. MCAULIFFE’S POLITICAL, AND PRINCIPLED, MOVE","2016-04-25"
"A STATE BUCKS THE TREND ON VOTING RIGHTS","2016-04-25"
"THE PERILS OF BUSINESS IN CUBA","2016-04-25"
"ON CAMPUS, FREE SPEECH IS ESSENTIAL","2016-04-25"
"CLOAKING THE DEATH PENALTY IN SECRECY IS BAD POLICY","2016-04-25"
"U.S., REGION PAY A PRICE FOR NEGILGENCE","2016-04-25"
"HOUSING ACCESSIBILITY: IT'S THE LAW","2016-04-25"
"GOOD NEWS ON SMOKING","2016-04-25"
"WHY ARE COUNCIL RACES SO BORING?","2016-04-25"
"GREENLAW HAS EARNED RE-ELECTION AS FREDERICKSBURG'S MAYOR","2016-04-25"
"SCHAPIRO: MCAULIFFE USES EXECUTIVE POWER TO PAINT VIRGINIA BLUE","2016-04-25"
"COHN: THE VOTING EFFECT OF VIRGINIA’S MOVE ON FELONS? SMALL BUT POTENTIALLY DECISIVE","2016-04-25"
"ELIASON: THE MCDONNELL CONVICTION SHOULD STAND","2016-04-25"
"BRAUNLICH: TIME TO MOVE ONLINE EDUCATION FORWARD IN VIRGINIA","2016-04-25"
"ZIZZO: PROFFER LAW ALREADY NEEDS RECONSIDERATION","2016-04-25"
"MARTIN: REALITY CHECK","2016-04-25"
"BRUCE: UNPROTECTED BY A PIECE OF PAPER","2016-04-25"
"HERNICK: VIRGINIA SENATORS SHOULD BACK PHARMACY BILLS","2016-04-25"
"HAMILTON: WE SHOULD THANK MCAULIFFE (AND JEFFERSON)","2016-04-25"
"HALL: TESLA SHOULD PLAY BY VIRGINIA'S RULES","2016-04-25"
"CRANE: SAYING YES TO TESLA IN VIRGINIA","2016-04-25"
"DUFF: MAKE VIRGINIA A CLIMATE LEADER","2016-04-25"
"TRUMP: GIVING VIRGINIA FELONS RIGHT TO VOTE IS 'CROOKED POLITICS'","2016-04-26"
"BACOTE IS RECOVERING WELL AFTER STROKE, SURGERY","2016-04-26"
"FORMER GOV. BOB MCDONNELL STARTS COMPANY, DOES VOLUNTEER WORK WHILE LIVING IN LIMBO","2016-04-26"
"AS MCDONNELL AWAITS SUPREME COURT, ANOTHER GOVERNOR WATCHES FROM PRISON","2016-04-26"
"TRUMP TO VISIT HARRISONBURG?","2016-04-26"
"TRUMP CAMPAIGN QUIETLY OPENS ITS NEW OFFICE IN NORTHERN VIRGINIA","2016-04-26"
"AT HEARING, AUTO DEALERS SAY THEY COULD HANDLE A TESLA FRANCHISE","2016-04-26"
"STATE AGENCY SAYS VIRGINIA BEACH WILDLIFE GROUP IS IN COMPLIANCE WITH STATE REGULATIONS","2016-04-26"
"NYPD SHUTS DOWN SPRAWLING EAST COAST GUN RING","2016-04-26"
"REPORT EYES JOBS IN VIRGINIA OFFSHORE WIND INDUSTRY","2016-04-26"
"ACTING OUT OF SCHOOL","2016-04-26"
"CNU APPROVES NEARLY 3 PERCENT TUITION INCREASE","2016-04-26"
"BVU RETAINS ALPHA GRANT MONEY PENDING TAX PAYMENTS","2016-04-26"
"FEDERAL JUDGE UPHOLDS NC VOTER ID REQUIREMENT","2016-04-26"
"ARLINGTON GUN STORE’S OWNER SUES CRITICS, SAYS OPPONENTS ISSUED DEATH THREATS","2016-04-26"
"MCAULIFFE’S RESTORATION OF FELON VOTING RIGHTS MAY AFFECT RICHMOND’S MAYORAL RACE","2016-04-26"
"CONSULTANT'S REPORT ON BOULEVARD LEAVES FATE OF STADIUM UNCERTAIN","2016-04-26"
"NORFOLK SCHOOLS CAN'T RETRIEVE AT LEAST FOUR YEARS OF ACADEMIC DATA","2016-04-26"
"NORFOLK MAYORAL CANDIDATES PLEDGE “TRANSPARENCY” – BUT WHAT DO THEY MEAN?","2016-04-26"
"NORFOLK MAYORAL CANDIDATES FACE OFF IN DEBATE","2016-04-26"
"CITY OF VIRGINIA BEACH HIRING FREEZE OFFICIALLY LIFTED","2016-04-26"
"ROANOKE TO REPRINT BALLOTS FOR $4,000 AFTER CANDIDATE'S CONCERNS","2016-04-26"
"HEAD OF WINCHESTER SCHOOLS MARK LINEBURG RESIGNS","2016-04-26"
"MCAULIFFE'S VIGILANTE JUSTICE ON FELON VOTING RIGHTS","2016-04-26"
"CORRECTING A POST-CIVIL WAR INJUSTICE","2016-04-26"
"COLLEGE BOARDS NEED TO OPEN PROCEEDINGS","2016-04-26"
"BROADBAND VS. ICE CREAM","2016-04-26"
"WILLIAMS: VOTING RIGHTS SHOULD BE ISSUE OF PRINCIPLE, NOT PARTISANSHIP","2016-04-26"
"POLITIFACT: GOODLATTE: OBAMA SAID 22 TIMES HE LACKS POWER TO CHANGE IMMIGRATION LAW","2016-04-26"
"FALWELL: A DEBATE BASED ON FALSE ASSUMPTIONS","2016-04-26"
"MCAULIFFE REJECTS GOP LEADERS' CALL FOR SPECIAL SESSION ON VOTING RIGHTS FOR FELONS","2016-04-27"
"ADMINISTRATION: PAST CRIMES OF FELONS WITH RESTORED RIGHTS IRRELEVANT, LARGELY UNKNOWN","2016-04-27"
"THE MEDDLER: INSIDE THE MIND OF VIRGINIA ATTORNEY GENERAL MARK HERRING","2016-04-27"
"BOB MCDONNELL SUPREME COURT CASE WILL TEST REACH OF BRIBERY LAWS","2016-04-27"
"MCDONNELL GETS HIS DAY AT SUPREME COURT TODAY","2016-04-27"
"TRUMP NOT COMING TO STATE CONVENTION IN CITY","2016-04-27"
"TRUMP WILL NOT ATTEND VIRGINIA GOP CONVENTION AT JMU, PARTY SAYS","2016-04-27"
"REPUBLICAN PARTY QUASHES TRUMP RUMOR","2016-04-27"
"SENS. WARNER, KAINE AMONG CLINTON VEEP CHATTER","2016-04-27"
"VA.’S ETHICS CHIEF FORCED OUT AS SUPREME COURT TAKES UP MCDONNELL CASE","2016-04-27"
"GENERAL ASSEMBLY FIRES ETHICS COUNCIL DIRECTOR","2016-04-27"
"ETHICS LAWYER: 'COMMON INTEREST' IN SPORTS CLEARS VA. OFFICIALS TO ACCEPT FREE TICKETS","2016-04-27"
"CLEAN POWER PLAN IN LIMBO, BUT THAT HASN'T STOPPED WRANGLING OVER IT IN VIRGINIA","2016-04-27"
"FAIRFAX ABORTION CLINIC’S LICENSE SUSPENDED BY VIRGINIA HEALTH DEPARTMENT","2016-04-27"
"SYSTEMIC PROBLEMS EXIST IN FRANKLIN COUNTY SPECIAL EDUCATION BUT KEY COMPLAINTS UNFOUNDED, REPORT FINDS","2016-04-27"
"HAMPTON ROADS CONGRESSMEN ASK IRS FOR HELP FOR FAMILIES AFFECTED BY TOXIC CHINESE DRYWALL","2016-04-27"
"FORBES PUSHES SHIP REPAIR MEASURES","2016-04-27"
"SWITCH FLIPPED ON MUNICIPAL-MOTIVATED BROADBAND NETWORK; PBS IS FIRST CUSTOMER","2016-04-27"
"LIBERTY UNIVERSITY TO ALLOW HANDGUNS IN RESIDENCE HALLS NEXT FALL","2016-04-27"
"DRONE TRAINING, RESEARCH PARTNERSHIP WITH VA. COMMUNITY COLLEGE HELPS FIRST RESPONDERS","2016-04-27"
"DOMINION VA. POWER TO START POURING TREATED COAL ASH WATER INTO JAMES RIVER ON WEDNESDAY","2016-04-27"
"DOMINION TO START RELEASING COAL ASH WASTEWATER","2016-04-27"
"WHY VIRGINIA'S DECADES-OLD SHAD PLANKING IS GETTING A POLITICAL REBOOT","2016-04-27"
"STATE BAR REVOKES EX-BVU ATTORNEY'S LICENSE","2016-04-27"
"NAACP TO FILE COMPLAINT WITH U.S. JUSTICE DEPARTMENT IN FATAL ROANOKE COUNTY POLICE SHOOTING","2016-04-27"
"FAIRFAX OFFICIALS ADOPT PLAN TO INCREASE HOMEOWNER TAXES BY AN AVERAGE OF $304","2016-04-27"
"A BREAK FOR THE BALLPARK?","2016-04-27"
"SQUIRRELS, CITY AND VCU SAY THEY'RE WORKING ON NEW STADIUM SITE 'NEAR THE DIAMOND'","2016-04-27"
"ALEXANDER CLOSES IN ON PROTOGYROU IN NORFOLK FUNDRAISING","2016-04-27"
"PORTSMOUTH CITY AUDITOR LOSES HIS JOB","2016-04-27"
"BREWSTER RESIGNS AS PULASKI COUNTY SCHOOLS SUPERINTENDENT","2016-04-27"
"RESTORING SANITY TO THE DEBATE OVER TRANSGENDER BATHROOM USE","2016-04-27"
"CHAPTER ENDING","2016-04-27"
"WILL FELONS VOTE?","2016-04-27"
"TERRY MCAULIFFE, PARTY BUILDER?","2016-04-27"
"THERE'S NO SUCH THING AS FREE MONEY","2016-04-27"
"ENSURING INVOLVEMENT IN BEACH SCHOOLS","2016-04-27"
"SCHAPIRO: VA. REPUBLICANS RISK OVERDOING IT IN RIGHTS DEBATE","2016-04-27"
"DOUGHERTY: MCAULIFFE'S NUMBERS ADD UP","2016-04-27"
"THOMAS: THE FELON VOTE","2016-04-27"
"RESS: VIRGINIA POLITICS: A DIFFERENT KIND OF RUN-OFF IN ROANOKE","2016-04-27"
"KREITZER: THOUGHTS ON FOIA","2016-04-27"
"HOLLOMAN: MAKE CLEANER AIR A PRIORITY","2016-04-27"
"MASSIVE RESTORATION OF VOTING RIGHTS CHALLENGES LOCAL REGISTRARS","2016-04-28"
"VIRGINIA REPUBLICANS CALL FOR SPECIAL SESSION ON RIGHTS RESTORATION","2016-04-28"
"MCAULIFFE VISITS GERMANY, TOUTS NEW TRADE DEAL","2016-04-28"
"OUTSPOKEN VIRGINIA SENATOR TRAVELS TO SYRIA IN SUPPORT OF ASSAD","2016-04-28"
"SEN. DICK BLACK CONTINUES PRAISE OF ASSAD, VISITS SYRIA AND SURROUNDING REGION","2016-04-28"
"VIRGINIA STATE SENATOR TRAVELS TO SYRIA, PRAISES ASSAD","2016-04-28"
"VALLEY LAWMAKERS DISCUSS SESSION","2016-04-28"
"SUPREME COURT JUSTICES SEEM SKEPTICAL OF MCDONNELL’S CONVICTION","2016-04-28"
"JUSTICES LEAN TOWARD BOB MCDONNELL, EX-VIRGINIA GOVERNOR, IN CORRUPTION CASE","2016-04-28"
"HIGH COURT SEEMS POISED TO OVERTURN MCDONNELL CONVICTION","2016-04-28"
"TOP COURT POISED TO OVERTURN VIRGINIA EX-GOVERNOR'S CONVICTIONS","2016-04-28"
"HIGH COURT APPEARS LIKELY TO EASE PUBLIC CORRUPTION RULES IN MCDONNELL CASE","2016-04-28"
"SKEPTICAL SUPREME COURT LOOKS FOR LEGAL STANDARD IN MCDONNELL CASE","2016-04-28"
"SUPREME COURT JUSTICES SET SKEPTICAL TONE DURING BOB MCDONNELL HEARING","2016-04-28"
"SKEPTICAL SUPREME COURT JUSTICES BOOST MCDONNELL HOPES","2016-04-28"
"MCDONNELL RELIES ON FAITH, FAMILY, FRIENDS AS HE GETS HIS DAY AT SUPREME COURT","2016-04-28"
"REP. BOBBY SCOTT CRITICIZES GOP FOR OPPOSING RESTORATION OF VOTING RIGHTS TO FELONS","2016-04-28"
"JILL BIDEN, SPONSOR OF SUBMARINE DELAWARE, READY FOR SATURDAY KEEL LAYING IN NEWPORT NEWS","2016-04-28"
"HANOVER SUPERVISORS BACKTRACK ON POSITION FOR HIGH-SPEED RAIL PROJECT","2016-04-28"
"DOMINION VIRGINIA POWER BEGINS DISCHARGING TREATED COAL ASH WATER INTO JAMES RIVER","2016-04-28"
"THE COST OF CONSTRUCTION: STUDY QUESTIONS IF PIPELINES ARE NEEDED","2016-04-28"
"PLANNERS SUPPORT OPPOSING PIPELINE","2016-04-28"
"CLIMATE, ENVIRONMENTAL CHANGE HIT CLOSE TO HOME FOR TANGIER, INDIAN TRIBES","2016-04-28"
"CIRCUIT COURT RULES VDOE MUST RELEASE STUDENT GROWTH DATA","2016-04-28"
"AUDIT FINDS SCHOOL STAFF IN VIOLATION OF PROCUREMENT LAW","2016-04-28"
"YORK SCHOOL BOARD LIKELY VIOLATED OPEN MEETINGS LAWS, EXPERT SAYS","2016-04-28"
"ALBEMARLE PANEL SAYS NO TO DEVELOPER’S SECOND REQUEST FOR LOWER PROFFERS","2016-04-28"
"ROANOKE WANTS TO EXPAND AFTER-SCHOOL PROGRAM DESPITE POOR RECORD","2016-04-28"
"MONTGOMERY CO. CLERK CITES STAFFING CHANGES IN RESPONSE TO ERRORS FOUND IN AUDIT","2016-04-28"
"MCAULIFFE'S ORDER AND THE CONSTITUTION","2016-04-28"
"LUXURY-BOX RULE JUST TOO LOOSEY-GOOSEY","2016-04-28"
"VIRGINIA LEADING THE WAY TO SMARTER ROADWAYS?","2016-04-28"
"RELEASE THE TAPE","2016-04-28"
"PORTSMOUTH CITY COUNCIL MAKES MOVE FORWARD","2016-04-28"
"LOHMANN: NATURAL BRIDGE ON THE VERGE OF BECOMING A NEW STATE PARK","2016-04-28"
"PITTS: MCAULIFFE DOES RIGHT THING FOR WRONG REASON","2016-04-28"
"MCAULIFFE GETS POOR MARKS FROM ENVIRONMENTAL GROUP","2016-04-29"
"COALITION: GOV. 'CHEERLEADER' FOR HIGH-POLLUTION POLICIES","2016-04-29"
"MCAULIFFE GIVEN D+ ON CLIMATE ISSUES, BUT SOME DISAGREE","2016-04-29"
"VIRGINIA WINE MAKES A SPLASH IN LONDON","2016-04-29"
"VA. STATE SENATOR BLACK MEETS WITH ASSAD IN SYRIA","2016-04-29"
"VA. SENATOR TRAVELS TO SYRIA, SHAKES HANDS WITH BASHAR AL-ASSAD","2016-04-29"
"SCOVA TAKES UP LEGISLATIVE PRIVILEGE CASE","2016-04-29"
"DELEGATE CHALLENGES VETO TO BILL THAT WOULD DEFUND PLANNED PARENTHOOD","2016-04-29"
